step,time_hours,time_seconds,time_minutes,Explore-Inner_x_m,Explore-Inner_y_m,Explore-Inner_mode,Explore-Inner_charge_station_id,Explore-Mid_x_m,Explore-Mid_y_m,Explore-Mid_mode,Explore-Mid_charge_station_id,Explore-Outer_x_m,Explore-Outer_y_m,Explore-Outer_mode,Explore-Outer_charge_station_id,Drone-3m_x_m,Drone-3m_y_m,Drone-3m_mode,Drone-3m_charge_station_id,Drone-6m_x_m,Drone-6m_y_m,Drone-6m_mode,Drone-6m_charge_station_id,Drone-9m_x_m,Drone-9m_y_m,Drone-9m_mode,Drone-9m_charge_station_id
65,0.0018055555555555557,6.500000000000001,0.10833333333333335,14.2255,8.438,WAIT_PV,-1,5.862293663705203,12.242787860576335,WORK,-1,5.111428321014579,1.8472704098083537,WORK,-1,7.6815103773584905,6.7321650943396225,WORK,-1,10.908073584905662,11.282864150943396,WORK,-1,15.226064150943397,6.403496226415094,WORK,-1
66,0.0018333333333333335,6.6000000000000005,0.11000000000000001,14.2255,8.438,WAIT_PV,-1,5.777620641804544,12.189585610979062,WORK,-1,5.031256642029157,1.9070408196167072,WORK,-1,7.682852075471699,6.741703018867925,WORK,-1,10.919134716981132,11.27695283018868,WORK,-1,15.20597283018868,6.405019245283019,WORK,-1
67,0.0018611111111111111,6.7,0.11166666666666666,14.2255,8.438,WAIT_PV,-1,5.692947619903886,12.136383361381789,WORK,-1,4.951084963043735,1.9668112294250608,WORK,-1,7.684193773584906,6.751240943396226,WORK,-1,10.930195849056604,11.271041509433964,WORK,-1,15.185881509433964,6.406542264150943,WORK,-1
68,0.001888888888888889,6.8,0.11333333333333333,14.2255,8.438,WAIT_PV,-1,5.608274598003227,12.083181111784516,WORK,-1,4.870913284058314,2.0265816392334144,WORK,-1,7.685535471698113,6.760778867924528,WORK,-1,10.941256981132076,11.265130188679244,WORK,-1,15.165790188679246,6.408065283018868,WORK,-1
69,0.0019166666666666668,6.9,0.115,14.2255,8.438,WAIT_PV,-1,5.5236015761025685,12.029978862187242,WORK,-1,4.790741605072892,2.086352049041768,WORK,-1,7.686877169811321,6.77031679245283,WORK,-1,10.952318113207548,11.259218867924528,WORK,-1,15.145698867924528,6.409588301886792,WORK,-1
70,0.0019444444444444446,7.000000000000001,0.11666666666666668,14.2255,8.438,WAIT_PV,-1,5.43892855420191,11.976776612589969,WORK,-1,4.71056992608747,2.146122458850122,WORK,-1,7.688218867924529,6.779854716981132,WORK,-1,10.96337924528302,11.253307547169811,WORK,-1,15.125607547169812,6.411111320754717,WORK,-1
71,0.0019722222222222224,7.1000000000000005,0.11833333333333335,14.2255,8.438,WAIT_PV,-1,5.354255532301252,11.923574362992694,WORK,-1,4.630398247102049,2.205892868658476,WORK,-1,7.689560566037736,6.789392641509434,WORK,-1,10.97444037735849,11.247396226415095,WORK,-1,15.105516226415094,6.412634339622642,WORK,-1
72,0.002,7.2,0.12000000000000001,14.2255,8.438,WAIT_PV,-1,5.2695825104005936,11.87037211339542,WORK,-1,4.550226568116627,2.2656632784668296,WORK,-1,7.690902264150942,6.798930566037735,WORK,-1,10.985501509433963,11.241484905660377,WORK,-1,15.085424905660378,6.4141573584905665,WORK,-1
73,0.002027777777777778,7.300000000000001,0.12166666666666667,14.2255,8.438,WAIT_PV,-1,5.184909488499936,11.817169863798146,WORK,-1,4.470054889131205,2.3254336882751834,WORK,-1,7.6922439622641505,6.808468490566037,WORK,-1,10.996562641509435,11.23557358490566,WORK,-1,15.065333584905662,6.415680377358491,WORK,-1
74,0.0020555555555555557,7.4,0.12333333333333334,14.2255,8.438,WAIT_PV,-1,5.100236466599277,11.763967614200872,WORK,-1,4.389883210145784,2.385204098083537,WORK,-1,7.693585660377359,6.818006415094339,WORK,-1,11.007623773584907,11.229662264150944,WORK,-1,15.045242264150943,6.417203396226415,WORK,-1
